Pincode,District,StateName,Region
110001,CENTRAL DELHI,Delhi,North
110002,New Delhi,Delhi,North
110003,SOUTH DELHI,Delhi,North
110004,CENTRAL DELHI,Delhi,North
110005,CENTRAL DELHI,Delhi,North
110006,NORTH DELHI,Delhi,North
110007,NORTH DELHI,Delhi,North
110008,CENTRAL DELHI,Delhi,North
110009,NORTH DELHI,Delhi,North
110010,NEW DELHI,Delhi,North
110011,CENTRAL DELHI,Delhi,North
110012,CENTRAL DELHI,Delhi,North
110013,SOUTH DELHI,Delhi,North
110014,SOUTH DELHI,Delhi,North
110015,WEST DELHI,Delhi,North
110016,SOUTH DELHI,Delhi,North
110017,SOUTH DELHI,Delhi,North
110018,WEST DELHI,Delhi,North
110019,SOUTH DELHI,Delhi,North
110020,SOUTH DELHI,Delhi,North
110021,SOUTH WEST DELHI,Delhi,North
110022,NEW DELHI,Delhi,North
110023,NEW DELHI,Delhi,North
110024,SOUTH DELHI,Delhi,North
110025,SOUTH DELHI,Delhi,North
110026,WEST DELHI,Delhi,North
110027,WEST DELHI,Delhi,North
110028,SOUTH WEST DELHI,Delhi,North
110029,NEW DELHI,Delhi,North
110030,SOUTH DELHI,Delhi,North
110031,EAST DELHI,Delhi,North
110032,SHAHDARA,Delhi,North
110033,NORTH WEST DELHI,Delhi,North
110034,NORTH WEST DELHI,Delhi,North
110035,NORTH WEST DELHI,Delhi,North
110036,NORTH DELHI,Delhi,North
110037,NEW DELHI,Delhi,North
110038,NEW DELHI,Delhi,North
110039,NORTH DELHI,Delhi,North
110040,NORTH DELHI,Delhi,North
110041,WEST DELHI,Delhi,North
110042,NORTH WEST DELHI,Delhi,North
110043,SOUTH WEST DELHI,Delhi,North
110044,SOUTH DELHI,Delhi,North
110045,WEST DELHI,Delhi,North
110046,SOUTH WEST DELHI,Delhi,North
110047,SOUTH DELHI,Delhi,North
110048,SOUTH DELHI,Delhi,North
110049,SOUTH DELHI,Delhi,North
110051,SHAHDARA,Delhi,North
110052,NORTH WEST DELHI,Delhi,North
110053,NORTH EAST DELHI,Delhi,North
110054,NORTH DELHI,Delhi,North
110055,CENTRAL DELHI,Delhi,North
110056,NORTH WEST DELHI,Delhi,North
110057,NEW DELHI,Delhi,North
110058,WEST DELHI,Delhi,North
110059,WEST DELHI,Delhi,North
110060,CENTRAL DELHI,Delhi,North
110061,SOUTH WEST DELHI,Delhi,North
110062,SOUTH DELHI,Delhi,North
110063,WEST DELHI,Delhi,North
110064,WEST DELHI,Delhi,North
110065,SOUTH DELHI,Delhi,North
110066,NEW DELHI,Delhi,North
110067,SOUTH DELHI,Delhi,North
110068,SOUTH DELHI,Delhi,North
110069,CENTRAL DELHI,Delhi,North
110070,NEW DELHI,Delhi,North
110071,SOUTH WEST DELHI,Delhi,North
110072,SOUTH WEST DELHI,Delhi,North
110073,SOUTH WEST DELHI,Delhi,North
110074,SOUTH DELHI,Delhi,North
110075,SOUTH WEST DELHI,Delhi,North
110076,SOUTH DELHI,Delhi,North
110077,SOUTH WEST DELHI,Delhi,North
110078,SOUTH WEST DELHI,Delhi,North
110080,SOUTH DELHI,Delhi,North
110081,NORTH DELHI,Delhi,North
110082,NORTH DELHI,Delhi,North
110083,NORTH WEST DELHI,Delhi,North
110084,NORTH WEST DELHI,Delhi,North
110085,NORTH WEST DELHI,Delhi,North
110086,NORTH WEST DELHI,Delhi,North
110087,WEST DELHI,Delhi,North
110088,NORTH WEST DELHI,Delhi,North
110089,NORTH WEST DELHI,Delhi,North
110090,NORTH EAST DELHI,Delhi,North
110091,EAST DELHI,Delhi,North
110092,EAST DELHI,Delhi,North
110093,NORTH EAST DELHI,Delhi,North
110094,NORTH EAST DELHI,Delhi,North
110095,EAST DELHI,Delhi,North
110096,EAST DELHI,Delhi,North
110097,SOUTH WEST DELHI,Delhi,North
110099,NORTH WEST DELHI,Delhi,North
